ts_utc,imb_mean,imb_std
2025-07-08 05:03:00,-0.002628280303030304,0.652623354332137
2025-07-08 05:06:00,-0.10332698305084746,0.6219782910966202
2025-07-08 05:09:00,-0.1623251897810219,0.6298157782354014
2025-07-08 05:12:00,-0.2453995156794425,0.5356252424703147
2025-07-08 05:15:00,0.03915077824267782,0.5839786873600955
2025-07-08 05:18:00,-0.3047861711409396,0.6004642733718529
2025-07-08 05:21:00,-0.3025822902097902,0.6638559682694468
2025-07-08 05:24:00,-0.3435004242424243,0.6111818148966809
2025-07-08 05:27:00,-0.3134178888888889,0.5612995313613878
2025-07-08 05:30:00,-0.416137288209607,0.4872485408437325
2025-07-08 05:33:00,-0.18537027857142857,0.6316230944599549
2025-07-08 05:36:00,-0.3670810064935065,0.5849393823593918
2025-07-08 05:39:00,-0.38280014893617026,0.5129259164802625
2025-07-08 05:42:00,0.039711303571428574,0.8405022266313731
2025-07-08 05:45:00,-0.1409831511627907,0.6687010938220771
2025-07-08 05:48:00,-0.08799198617511521,0.6577261056564536
2025-07-08 05:51:00,-0.5105388346456693,0.6326210198057315
2025-07-08 05:54:00,-0.6774321348314607,0.42425241200017993
2025-07-08 05:57:00,-0.17490581292517007,0.662617733855242
2025-07-08 06:00:00,0.24160541549295775,0.6706519666379049
2025-07-08 06:03:00,0.23909020903954803,0.6223776874007566
2025-07-08 06:06:00,-0.054726025974025976,0.6814622839680216
2025-07-08 06:09:00,-0.2032285039370079,0.6617371974304761
2025-07-08 06:12:00,0.08873837903225806,0.7602414112764145
2025-07-08 06:15:00,0.1203693671875,0.7410167475171713
2025-07-08 06:18:00,-0.06700472727272727,0.6963025121043085
2025-07-08 06:21:00,0.05620282258064516,0.6791024671492483
2025-07-08 06:24:00,-0.04920243930635839,0.7348069945713738
2025-07-08 06:27:00,-0.07283948823529413,0.71258279774106
2025-07-08 06:30:00,-0.2549994857142857,0.7279194821508781
2025-07-08 06:33:00,0.03226870742358078,0.7218401122735396
2025-07-08 06:36:00,-0.17003896694214876,0.6730426297086999
2025-07-08 06:39:00,-0.1531398109090909,0.7350833120673056
2025-07-08 06:42:00,0.009039496428571433,0.709390587963018
2025-07-08 06:45:00,-0.1627228773006135,0.5821741603774974
2025-07-08 06:48:00,-0.0891448753894081,0.7256658799436835
2025-07-08 06:51:00,-0.1870315818181818,0.7040794711816382
2025-07-08 06:54:00,-0.45296822881355936,0.4651660330528511
2025-07-08 06:57:00,-0.08729261694915254,0.6203943566743387
2025-07-08 07:00:00,0.06847197023809524,0.7308999857718144
2025-07-08 07:03:00,-0.09683777397260274,0.6515018714500131
2025-07-08 07:06:00,-0.031094418410041843,0.7206090975788497
2025-07-08 07:09:00,-0.1816506958174905,0.6085349911310328
2025-07-08 07:12:00,0.16332238721804512,0.6120071806290767
2025-07-08 07:15:00,0.03744396428571429,0.6340152928883296
2025-07-08 07:18:00,0.3539350381679389,0.5963897974618648
2025-07-08 07:21:00,0.07237733823529412,0.6614626356112225
2025-07-08 07:24:00,0.4660102644927536,0.6358886178740872
2025-07-08 07:27:00,,
2025-07-08 07:30:00,,
2025-07-08 07:33:00,0.3843564298642534,0.7137684639368906
2025-07-08 07:36:00,0.4269336123778502,0.5506139289977114
2025-07-08 07:39:00,-0.06337686813186813,0.80108102094489
2025-07-08 07:42:00,0.32827571062271066,0.6622605762148903
2025-07-08 07:45:00,0.2532978888888889,0.7166302935463554
2025-07-08 07:48:00,0.32260194217687077,0.7152650890593729
2025-07-08 07:51:00,0.2552940777777778,0.7776250817191906
2025-07-08 07:54:00,0.42879094140625,0.568695167552206
2025-07-08 07:57:00,0.12135967790262171,0.7655139420747533
2025-07-08 08:00:00,0.03550690671641791,0.6820359169368391
2025-07-08 08:03:00,0.1697497118644068,0.7394853638847566
2025-07-08 08:06:00,0.20078888644688644,0.7119686555975017
2025-07-08 08:09:00,0.001923372262773726,0.8104862342751206
2025-07-08 08:12:00,0.19722471088435375,0.7228552365045173
2025-07-08 08:15:00,0.10785160071942447,0.7536598504394163
2025-07-08 08:18:00,-0.18512099122807016,0.6944788785994621
2025-07-08 08:21:00,0.016456719626168227,0.7159935688801888
2025-07-08 08:24:00,-0.23458876094276093,0.6251946832015934
2025-07-08 08:27:00,-0.46341843223443224,0.6655943515345586
2025-07-08 08:30:00,-0.30674894244604317,0.658042650965361
2025-07-08 08:33:00,-0.49444531501831507,0.6557084630005697
2025-07-08 08:36:00,-0.4508601697247706,0.6532855317388219
2025-07-08 08:39:00,-0.1278649652173913,0.696477500932893
2025-07-08 08:42:00,-0.37108472953736654,0.6341134176538514
2025-07-08 08:45:00,-0.319937781420765,0.6609433644214064
2025-07-08 08:48:00,0.01616471296296296,0.7232510041985986
2025-07-08 08:51:00,-0.17368127586206897,0.5910007940676312
2025-07-08 08:54:00,-0.39407999209486166,0.6314207289662995
2025-07-08 08:57:00,-0.3731144639175258,0.7382579556186226
2025-07-08 09:00:00,-0.19350543772241993,0.621094821014752
2025-07-08 09:03:00,0.14596160465116279,0.6891559307131984
2025-07-08 09:06:00,0.11127539799331103,0.5871212109011383
2025-07-08 09:09:00,0.2213163598130841,0.5964970418920127
2025-07-08 09:12:00,0.17787,0.6868467251823218
2025-07-08 09:15:00,-0.045439294117647064,0.67402615622373
2025-07-08 09:18:00,0.06703547385620916,0.6695071024618043
2025-07-08 09:21:00,0.2674766398104265,0.6637579270904724
2025-07-08 09:24:00,-0.3334725149253731,0.6411536760581741
2025-07-08 09:27:00,0.07068986818181819,0.6813239275838137
