timestamp,open,high,low,close,volume,imb_mean,imb_std,ret1,ema_8,ema_21,vwap,vol_spike,atr14_pc,rsi14,bb_z,tod_frac,dow_0,dow_1,dow_2,dow_3,dow_4
2025-01-09 10:03:00,1264.65,1265.3,1263.15,1263.45,68038,,,0.0,1263.45,1263.45,1263.9666666666665,0,,,,0.128,0,0,0,1,0
2025-01-09 10:06:00,1263.55,1264.75,1263.3,1264.6,40297,,,0.0009102061814871831,1263.7055555555555,1263.5545454545454,1264.0596583129488,0,,,,0.136,0,0,0,1,0
2025-01-09 10:09:00,1264.6,1266.7,1264.05,1266.6,56539,,,0.0015815277558122176,1264.3487654320986,1263.8314049586777,1264.650745215538,0,,,,0.144,0,0,0,1,0
2025-01-09 10:12:00,1266.6,1266.65,1264.9,1265.2,46666,,,-0.001105321332701581,1264.5379286694101,1263.955822689707,1264.856475371088,0,,,,0.152,0,0,0,1,0
2025-01-09 10:15:00,1265.3,1265.8,1264.2,1265.15,59675,,,-3.951944356617165e-05,1264.6739445206524,1264.06438426337,1264.89905628376,0,,,,0.16,0,0,0,1,0
2025-01-09 10:18:00,1265.25,1266.1,1264.0,1265.8,41099,,,0.0005137730703868026,1264.9241790716185,1264.2221675121543,1264.9518185223844,0,,,,0.168,0,0,0,1,0
2025-01-09 10:21:00,1265.8,1266.0,1265.2,1265.65,41064,,,-0.00011850213303832291,1265.0854726112589,1264.3519704655948,1265.0290766544606,0,,,,0.176,0,0,0,1,0
2025-01-09 10:24:00,1265.65,1266.95,1265.45,1266.55,426541,,,0.0007110970647492554,1265.4109231420903,1264.5517913323588,1265.733265078382,1,,,,0.184,0,0,0,1,0
2025-01-09 10:27:00,1266.65,1266.65,1262.4,1262.65,119384,,,-0.003079230981800851,1264.7973846660702,1264.3789012112352,1265.489896026886,0,,,,0.192,0,0,0,1,0
2025-01-09 10:30:00,1262.95,1262.95,1260.1,1261.3,117327,,,-0.0010691798994180157,1264.0201880736101,1264.099001101123,1265.0236606402198,0,,,,0.2,0,0,0,1,0
