ts,imb
2025-07-08T04:55:15.650686+00:00,0.589905
2025-07-08T04:55:15.900987+00:00,0.567742
2025-07-08T04:55:16.204111+00:00,0.567742
2025-07-08T04:55:18.150862+00:00,0.567742
2025-07-08T04:55:20.197880+00:00,0.567742
2025-07-08T04:55:21.733818+00:00,0.679803
2025-07-08T04:55:22.245905+00:00,0.679803
2025-07-08T04:55:24.191162+00:00,0.679803
2025-07-08T04:55:26.239543+00:00,0.679803
2025-07-08T04:55:27.400675+00:00,0.693506
2025-07-08T04:55:28.186675+00:00,0.693506
2025-07-08T04:55:30.234768+00:00,0.693506
2025-07-08T04:55:33.202746+00:00,0.693506
2025-07-08T04:55:35.660319+00:00,0.543307
2025-07-08T04:55:37.196293+00:00,0.543307
2025-07-08T04:55:38.220509+00:00,0.543307
2025-07-08T04:55:39.150541+00:00,0.781250
2025-07-08T04:55:40.165954+00:00,0.781250
2025-07-08T04:55:42.214023+00:00,0.781250
2025-07-08T04:55:44.261983+00:00,0.781250
2025-07-08T04:55:44.671173+00:00,0.916667
2025-07-08T04:55:46.207294+00:00,0.916667
2025-07-08T04:55:48.255385+00:00,0.916667
2025-07-08T04:55:50.150661+00:00,0.916667
2025-07-08T04:55:50.713358+00:00,-0.427746
2025-07-08T04:55:52.249281+00:00,-0.427746
2025-07-08T04:55:55.218427+00:00,-0.427746
2025-07-08T04:55:56.150653+00:00,0.616279
2025-07-08T04:55:58.495693+00:00,0.616279
2025-07-08T04:56:00.150844+00:00,0.616279
2025-07-08T04:56:01.650939+00:00,-0.666667
2025-07-08T04:56:02.182147+00:00,-0.666667
2025-07-08T04:56:04.230092+00:00,-0.666667
2025-07-08T04:56:07.150832+00:00,-0.784615
2025-07-08T04:56:08.150706+00:00,-0.784615
2025-07-08T04:56:10.149913+00:00,-0.784615
2025-07-08T04:56:12.218234+00:00,-0.784615
2025-07-08T04:56:12.729363+00:00,-0.490196
2025-07-08T04:56:14.150862+00:00,-0.490196
2025-07-08T04:56:16.211011+00:00,-0.490196
2025-07-08T04:56:17.900688+00:00,0.739788
2025-07-08T04:56:18.258761+00:00,0.739788
2025-07-08T04:56:20.204210+00:00,0.739788
2025-07-08T04:56:22.252071+00:00,0.739788
2025-07-08T04:56:23.173657+00:00,0.677888
2025-07-08T04:56:24.197569+00:00,0.677888
2025-07-08T04:56:26.149957+00:00,0.677888
2025-07-08T04:56:28.192360+00:00,0.677888
2025-07-08T04:56:29.400024+00:00,0.081001
2025-07-08T04:56:31.160631+00:00,0.081001
2025-07-08T04:56:32.184518+00:00,0.081001
2025-07-08T04:56:34.232357+00:00,0.081001
2025-07-08T04:56:35.665924+00:00,-0.592593
2025-07-08T04:56:36.177993+00:00,-0.592593
2025-07-08T04:56:38.225374+00:00,-0.592593
2025-07-08T04:56:40.173131+00:00,-0.592593
2025-07-08T04:56:41.707260+00:00,-0.170455
2025-07-08T04:56:42.149439+00:00,-0.170455
2025-07-08T04:56:44.167413+00:00,-0.170455
2025-07-08T04:56:46.212640+00:00,-0.170455
2025-07-08T04:56:47.237675+00:00,0.230769
2025-07-08T04:56:48.158555+00:00,0.230769
2025-07-08T04:56:50.208742+00:00,0.230769
2025-07-08T04:56:52.899772+00:00,-0.434783
2025-07-08T04:56:53.149411+00:00,-0.434783
2025-07-08T04:56:54.201490+00:00,-0.434783
2025-07-08T04:56:56.249934+00:00,-0.434783
2025-07-08T04:56:58.194965+00:00,-0.884726
2025-07-08T04:56:59.218046+00:00,-0.884726
2025-07-08T04:57:00.241871+00:00,-0.884726
2025-07-08T04:57:02.160903+00:00,-0.868785
2025-07-08T04:57:03.399748+00:00,-0.858711
2025-07-08T04:57:04.235443+00:00,-0.858711
2025-07-08T04:57:05.149422+00:00,-0.863214
2025-07-08T04:57:06.148815+00:00,-0.863214
2025-07-08T04:57:06.398895+00:00,-0.705446
2025-07-08T04:57:07.208938+00:00,-0.695797
2025-07-08T04:57:08.149470+00:00,-0.695797
2025-07-08T04:57:08.398825+00:00,-0.383023
2025-07-08T04:57:09.148637+00:00,-0.383023
2025-07-08T04:57:09.399321+00:00,0.433692
2025-07-08T04:57:10.399869+00:00,-0.726126
2025-07-08T04:57:11.149054+00:00,-0.726126
2025-07-08T04:57:11.399889+00:00,-0.289747
2025-07-08T04:57:12.149171+00:00,-0.289747
2025-07-08T04:57:12.427642+00:00,-0.443558
2025-07-08T04:57:13.245755+00:00,-0.443558
2025-07-08T04:57:13.649054+00:00,-0.340541
2025-07-08T04:57:14.149698+00:00,-0.340541
2025-07-08T04:57:14.650139+00:00,-0.310924
2025-07-08T04:57:15.148918+00:00,-0.310924
2025-07-08T04:57:15.648735+00:00,-0.270310
2025-07-08T04:57:16.148594+00:00,-0.270310
2025-07-08T04:57:16.725523+00:00,-0.401294
2025-07-08T04:57:17.237840+00:00,-0.401294
2025-07-08T04:57:17.648951+00:00,-0.109677
2025-07-08T04:57:18.161413+00:00,-0.109677
2025-07-08T04:57:18.649090+00:00,-0.057971
2025-07-08T04:57:19.695425+00:00,0.235650
2025-07-08T04:57:20.149270+00:00,0.235650
2025-07-08T04:57:20.721428+00:00,0.321212
2025-07-08T04:57:21.233607+00:00,0.321212
2025-07-08T04:57:21.648907+00:00,0.296804
2025-07-08T04:57:22.257562+00:00,0.296804
2025-07-08T04:57:22.667102+00:00,0.293939
2025-07-08T04:57:23.148907+00:00,0.293939
2025-07-08T04:57:23.691141+00:00,0.346154
2025-07-08T04:57:24.203370+00:00,0.346154
2025-07-08T04:57:24.648893+00:00,0.245509
2025-07-08T04:57:25.739113+00:00,-0.038369
2025-07-08T04:57:26.251575+00:00,-0.038369
2025-07-08T04:57:26.899024+00:00,-0.038369
2025-07-08T04:57:27.148950+00:00,-0.038369
2025-07-08T04:57:28.149096+00:00,-0.038369
2025-07-08T04:57:28.401566+00:00,-0.270142
2025-07-08T04:57:29.220726+00:00,-0.270142
2025-07-08T04:57:29.398593+00:00,-0.265823
2025-07-08T04:57:30.399168+00:00,-0.265823
2025-07-08T04:57:30.756786+00:00,-0.256866
2025-07-08T04:57:30.898961+00:00,-0.256866
2025-07-08T04:57:31.167658+00:00,-0.256866
2025-07-08T04:57:31.678329+00:00,-0.375000
2025-07-08T04:57:32.403087+00:00,-0.375000
2025-07-08T04:57:32.899014+00:00,-0.374022
2025-07-08T04:57:33.148885+00:00,-0.374022
2025-07-08T04:57:33.730797+00:00,-0.628458
2025-07-08T04:57:34.149007+00:00,-0.628458
2025-07-08T04:57:34.648917+00:00,-0.628458
2025-07-08T04:57:34.898857+00:00,-0.855756
2025-07-08T04:57:35.149101+00:00,-0.855756
2025-07-08T04:57:35.648874+00:00,-0.855756
2025-07-08T04:57:35.899034+00:00,-0.865922
2025-07-08T04:57:36.148871+00:00,-0.865922
2025-07-08T04:57:36.696419+00:00,-0.865922
2025-07-08T04:57:37.149076+00:00,-0.596529
2025-07-08T04:57:37.398854+00:00,-0.596529
2025-07-08T04:57:37.924616+00:00,-0.525593
2025-07-08T04:57:38.437055+00:00,-0.525593
2025-07-08T04:57:39.148735+00:00,-0.441038
