date,open,high,low,close,volume
2025-07-03 09:15:00,1994.9,1994.9,1987.5,1989.1,248349
2025-07-03 09:18:00,1990.2,1992.6,1990.1,1992.6,53070
2025-07-03 09:21:00,1992.1,1993.0,1989.8,1990.0,164406
2025-07-03 09:24:00,1989.9,1990.5,1988.1,1989.4,37354
2025-07-03 09:27:00,1989.6,1989.6,1987.9,1988.6,32194
2025-07-03 09:30:00,1988.6,1991.6,1988.6,1991.1,33969
2025-07-03 09:33:00,1991.3,1991.3,1989.3,1990.8,26061
2025-07-03 09:36:00,1991.0,1993.6,1990.8,1992.0,31983
2025-07-03 09:39:00,1992.0,1993.0,1989.9,1992.6,28783
2025-07-03 09:42:00,1992.6,1993.5,1992.0,1992.2,21148
2025-07-03 09:45:00,1992.5,1996.0,1992.3,1994.1,49974
2025-07-03 09:48:00,1994.1,1997.2,1992.2,1996.7,89533
2025-07-03 09:51:00,1996.7,1997.7,1993.6,1995.6,86050
2025-07-03 09:54:00,1995.5,1997.0,1995.0,1996.1,53426
2025-07-03 09:57:00,1996.1,1999.0,1996.0,1999.0,30000
2025-07-03 10:00:00,1998.9,2000.5,1998.0,1998.3,75243
2025-07-03 10:03:00,1998.5,1999.9,1998.0,1998.1,54637
2025-07-03 10:06:00,1997.5,1999.4,1997.0,1998.6,74502
2025-07-03 10:09:00,1998.6,2001.0,1998.3,1999.3,84376
2025-07-03 10:12:00,1999.3,2000.0,1996.6,1997.7,28754
2025-07-03 10:15:00,1997.7,2000.0,1997.6,1999.8,31276
2025-07-03 10:18:00,1999.8,2000.3,1998.4,1999.0,31216
2025-07-03 10:21:00,1999.1,2002.1,1998.9,2001.1,94212
2025-07-03 10:24:00,2001.1,2003.4,2000.9,2002.3,60236
2025-07-03 10:27:00,2002.3,2002.6,2000.2,2001.1,25331
2025-07-03 10:30:00,2001.1,2003.2,2001.0,2003.1,27260
2025-07-03 10:33:00,2003.1,2003.4,2002.5,2003.1,24011
2025-07-03 10:36:00,2003.0,2004.0,2002.2,2003.3,19491
2025-07-03 10:39:00,2003.4,2003.6,2002.6,2003.0,27354
2025-07-03 10:42:00,2002.8,2003.0,2002.3,2002.3,16298
2025-07-03 10:45:00,2002.3,2003.0,2002.0,2002.7,26610
2025-07-03 10:48:00,2002.6,2003.5,2001.4,2002.0,40350
2025-07-03 10:51:00,2002.0,2002.7,2001.0,2002.4,40358
2025-07-03 10:54:00,2002.0,2002.6,2001.2,2002.0,24401
2025-07-03 10:57:00,2002.3,2002.3,2002.0,2002.1,9005
2025-07-03 11:00:00,2002.1,2003.2,2002.1,2003.0,29405
2025-07-03 11:03:00,2002.9,2003.0,2002.7,2002.9,14255
2025-07-03 11:06:00,2002.9,2007.1,2002.9,2007.1,101479
2025-07-03 11:09:00,2007.0,2008.0,2005.6,2006.5,36453
2025-07-03 11:12:00,2006.5,2008.0,2005.0,2006.0,40953
2025-07-03 11:15:00,2006.0,2007.2,2005.0,2006.9,136611
2025-07-03 11:18:00,2006.8,2006.9,2005.2,2006.0,16140
2025-07-03 11:21:00,2005.6,2007.5,2005.6,2006.9,22377
2025-07-03 11:24:00,2007.2,2007.9,2006.9,2007.1,25153
2025-07-03 11:27:00,2007.1,2007.5,2004.3,2004.3,38041
2025-07-03 11:30:00,2005.1,2006.8,2004.3,2005.0,34896
2025-07-03 11:33:00,2005.1,2007.0,2004.9,2006.0,32222
2025-07-03 11:36:00,2005.8,2006.0,2003.0,2004.3,69277
2025-07-03 11:39:00,2004.0,2004.8,2002.7,2004.5,83699
2025-07-03 11:42:00,2004.8,2004.8,2000.2,2000.3,72560
2025-07-03 11:45:00,2000.3,2001.0,1998.2,1998.8,52634
2025-07-03 11:48:00,1998.5,2000.9,1998.2,2000.1,38347
2025-07-03 11:51:00,2000.1,2001.8,1999.4,1999.4,32784
2025-07-03 11:54:00,1999.1,1999.5,1997.8,1998.5,22423
2025-07-03 11:57:00,1998.2,1999.6,1997.3,1999.2,38753
2025-07-03 12:00:00,1999.2,1999.9,1998.0,1998.1,21689
2025-07-03 12:03:00,1998.3,1998.7,1997.5,1998.2,23092
2025-07-03 12:06:00,1998.1,1998.3,1998.1,1998.2,16668
2025-07-03 12:09:00,1998.2,1998.5,1998.2,1998.2,14967
2025-07-03 12:12:00,1998.2,1999.0,1998.2,1998.5,22495
2025-07-03 12:15:00,1998.5,1998.8,1998.0,1998.6,14246
2025-07-03 12:18:00,1998.4,1999.1,1997.7,1999.1,16922
2025-07-03 12:21:00,1999.1,2000.0,1999.0,1999.3,18857
2025-07-03 12:24:00,1999.4,2000.0,1998.1,1999.4,36829
2025-07-03 12:27:00,1999.2,2000.0,1998.6,2000.0,27868
2025-07-03 12:30:00,2000.0,2000.0,1999.3,1999.4,14045
2025-07-03 12:33:00,1999.3,2000.0,1999.1,1999.5,13777
2025-07-03 12:36:00,1999.5,2000.0,1999.5,1999.9,14222
2025-07-03 12:39:00,1999.9,2003.2,1999.7,2002.6,87088
2025-07-03 12:42:00,2002.4,2002.4,2000.6,2001.3,14173
2025-07-03 12:45:00,2001.3,2002.5,2000.7,2002.0,14859
2025-07-03 12:48:00,2002.3,2003.6,2001.6,2001.7,16836
2025-07-03 12:51:00,2002.0,2002.1,2001.4,2001.9,6893
2025-07-03 12:54:00,2001.9,2002.9,2001.9,2002.8,11969
2025-07-03 12:57:00,2002.7,2002.8,2001.5,2002.0,9268
2025-07-03 13:00:00,2002.0,2002.1,1999.1,2000.7,17674
2025-07-03 13:03:00,2000.7,2001.0,1999.1,2000.3,18634
2025-07-03 13:06:00,2000.3,2000.7,1999.2,1999.4,13019
2025-07-03 13:09:00,1999.5,2000.0,1998.2,1998.9,16297
2025-07-03 13:12:00,1998.8,2000.2,1998.7,1999.5,11652
2025-07-03 13:15:00,1999.4,1999.8,1997.0,1997.0,42709
2025-07-03 13:18:00,1997.0,1999.0,1996.8,1997.7,29732
2025-07-03 13:21:00,1997.6,1998.5,1997.0,1997.7,10202
2025-07-03 13:24:00,1997.7,1998.0,1997.0,1997.7,17896
2025-07-03 13:27:00,1997.7,1997.8,1997.0,1997.3,10891
2025-07-03 13:30:00,1997.3,1998.3,1997.0,1998.3,9440
2025-07-03 13:33:00,1998.3,2000.0,1997.2,2000.0,30298
2025-07-03 13:36:00,2000.1,2003.0,1998.5,2003.0,52097
2025-07-03 13:39:00,2002.9,2005.0,2001.8,2002.7,94722
2025-07-03 13:42:00,2002.7,2003.1,2001.2,2002.5,43071
2025-07-03 13:45:00,2002.4,2003.0,2000.0,2000.5,23628
2025-07-03 13:48:00,2000.1,2000.9,1995.4,1997.9,24290
2025-07-03 13:51:00,1997.9,1997.9,1996.2,1996.8,21676
2025-07-03 13:54:00,1996.8,1998.0,1995.9,1996.2,12388
2025-07-03 13:57:00,1996.0,1996.8,1994.0,1996.0,35811
2025-07-03 14:00:00,1996.0,1996.9,1995.1,1996.7,23058
2025-07-03 14:03:00,1996.4,1997.5,1996.0,1996.7,12175
2025-07-03 14:06:00,1996.5,1997.0,1995.6,1996.3,13419
2025-07-03 14:09:00,1996.3,1997.5,1996.0,1996.9,9864
2025-07-03 14:12:00,1996.9,1997.0,1994.7,1995.0,14744
2025-07-03 14:15:00,1994.9,1995.0,1993.6,1994.0,47673
2025-07-03 14:18:00,1993.9,1994.1,1992.5,1994.0,68999
