date,open,high,low,close,volume,vol_avg20,volatility_5,high_low_range,high_N,low_N,channel_mid,ema_8,ema_21,ema_50,vwap,rsi_14,supertrend,supertrend_dir,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_median20,adx
2024-02-26 13:05:00,1429.6,1432.95,1429.3,1431.85,1119176,233858.7,0.0005561039102436797,3.650000000000091,1431.0,1423.0,1427.0,1428.6547600767456,1427.0063379211442,,1425.8408121431908,74.99999999999963,1420.5700216080318,1,1430.819520033652,1421.4004799663478,1426.11,0.006604707958926015,3.5183261306560665,,27.139654291937077
2024-02-26 13:15:00,1431.85,1434.0,1431.1,1431.9,262783,225896.15,0.0006200457440373262,2.900000000000091,1432.95,1423.0,1427.975,1429.3759245041354,1427.4512162919493,,1426.0804118296144,74.83870967741913,1422.1805194472286,1,1431.6590387883643,1421.480961211636,1426.5700000000002,0.007134649948287428,3.456493517590469,,28.376646424807983
2024-02-26 13:25:00,1431.9,1433.0,1430.65,1431.3,163070,225507.7,0.0007690866952015555,2.349999999999909,1434.0,1423.0,1428.5,1429.8034968365498,1427.801105719954,,1426.2051040221963,71.15384615384536,1422.1805194472286,1,1432.164962933581,1421.835037066419,1427.0,0.0072389109090132365,3.345844165831413,,29.159030071007308
2024-02-26 13:35:00,1431.35,1431.95,1429.1,1430.55,228042,230795.6,0.0008718591317414499,2.8500000000001364,1434.0,1423.0,1428.5,1429.9693864284277,1428.0510051999581,,1426.3364990024638,65.23178807946952,1422.1805194472286,1,1432.5177791617975,1422.1422208382023,1427.33,0.007269207768067035,3.2962597492482857,,28.727631452468714
2024-02-26 13:45:00,1430.55,1434.85,1430.55,1433.95,325871,238763.9,0.0013100621289479206,4.2999999999999545,1434.0,1423.0,1428.5,1430.8539672221104,1428.5872774545073,,1426.6184001872487,71.544715447154,1422.5100986770294,1,1433.6263763585384,1421.9186236414616,1427.7725,0.008200012759089336,3.3966337743234525,,29.36991216455417
2024-02-26 13:55:00,1434.2,1434.4,1431.7,1433.25,214655,241574.0,0.0012395731054258697,2.7000000000000455,1434.85,1423.0,1428.925,1431.3864189505305,1429.0111613222793,,1426.7916269619802,65.80459770114894,1423.0690888093268,1,1434.350395793854,1422.0496042061461,1428.2,0.008612793437689283,3.3269703968911117,4.0829994142546955,29.966315682919234
2024-02-26 14:05:00,1433.45,1434.6,1433.1,1433.7,175580,244159.3,0.0012367814067764298,1.5,1434.85,1426.05,1430.4499999999998,1431.9005480726348,1429.4374193838903,,1426.9411819223574,76.52733118970951,1424.4171799283938,1,1434.974539665951,1422.3904603340493,1428.6825000000001,0.008808170697059473,3.1442733572020005,3.869699472829219,30.586679608887973
2024-02-26 14:15:00,1433.75,1434.0,1432.6,1433.85,140284,244965.7,0.0011869313464094118,1.400000000000091,1434.85,1426.6,1430.725,1432.3337596120493,1429.8385630762639,,1427.0508537607914,74.29577464788599,1424.4171799283938,1,1435.489646859291,1422.8403531407089,1429.165,0.008850828083938738,2.9698460214818097,3.6827295255462973,30.779233427412905
2024-02-26 14:25:00,1433.9,1434.35,1431.1,1431.35,227820,250279.55,0.0014977513363508119,3.25,1434.85,1426.6,1430.725,1432.115146364927,1429.9759664329672,,1427.1890877748115,69.86754966887369,1424.4171799283938,1,1435.5260701368352,1423.4689298631647,1429.4975,0.00843453050716814,2.9978614193336286,3.566771787955229,30.04673638617407
2024-02-26 14:35:00,1431.4,1432.35,1428.55,1429.95,270597,257608.35,0.0008346124191710714,3.7999999999999545,1434.85,1428.5,1431.675,1431.6340027282768,1429.973605848152,,1427.2835195893856,61.73633440514485,1424.4171799283938,1,1435.4913692643722,1423.9036307356278,1429.6975,0.00810502818165699,3.078075277400261,3.5110109156925096,27.941194203485136
